lottery_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33
3075,5,1,1,5,8,3,6,3,4,27,3,1,8,2,4,1,1,5,1,9,2,1,2,9,7,6,1,6,19,2,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3076,1,1,4,6,9,4,1,4,5,28,4,2,1,3,5,1,1,1,1,1,3,1,3,10,8,7,2,7,1,3,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3077,1,3,5,1,10,5,8,5,6,29,5,1,1,4,6,1,2,1,2,1,4,1,4,1,1,8,3,8,1,4,2,3,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
3078,2,4,6,1,11,1,1,6,7,30,6,1,2,5,7,1,3,2,3,2,5,1,1,1,1,1,4,9,1,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0
3079,3,5,7,2,12,7,1,7,8,31,7,1,3,6,1,2,4,3,4,3,6,1,1,2,2,1,5,10,1,1,1,5,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0
3080,4,6,8,3,13,8,2,1,1,32,8,1,4,7,1,3,5,4,5,1,7,1,1,1,1,1,6,1,2,1,1,6,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
3081,1,1,9,1,14,9,3,9,1,33,9,2,5,1,2,4,6,5,6,1,8,2,2,1,1,1,7,1,1,1,2,7,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
3082,1,1,10,5,15,10,1,10,2,34,10,3,6,1,3,5,1,1,1,2,9,3,3,2,2,1,8,2,1,1,1,8,7,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
3083,1,1,1,6,16,11,1,11,3,35,1,4,7,1,4,6,1,1,1,3,10,4,4,3,3,1,9,1,2,1,1,9,8,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3084,1,1,1,7,17,1,1,12,4,1,12,5,8,1,5,7,1,1,2,4,11,5,5,4,4,1,10,1,3,2,2,10,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3085,1,1,2,1,18,1,1,13,5,1,1,1,9,2,6,8,1,2,1,5,12,6,6,5,5,2,1,2,4,3,3,11,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3086,1,1,1,1,1,2,2,14,6,2,1,1,10,3,7,1,2,1,1,6,13,7,7,6,6,1,1,3,5,1,4,12,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3087,2,1,1,1,1,3,3,15,7,3,2,1,11,4,8,1,3,1,2,7,14,8,8,1,7,1,2,1,6,1,5,13,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
3088,3,1,1,1,1,4,4,16,8,1,3,2,12,5,9,2,4,2,3,8,1,1,9,1,8,2,3,1,7,2,6,14,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1
3089,4,1,1,2,2,5,5,17,1,1,4,3,1,6,10,3,5,1,1,9,1,1,10,1,9,1,1,2,8,3,7,15,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4001,1,1,1,3,3,1,1,18,10,1,5,4,14,7,11,4,6,1,1,10,1,2,11,2,1,1,1,3,9,4,8,16,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
4002,1,1,1,1,4,7,1,19,11,1,6,1,15,8,12,5,7,1,2,11,2,1,12,3,1,2,2,4,10,1,1,17,2,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4003,2,1,1,5,1,1,2,20,12,1,7,1,16,9,13,6,1,1,3,12,3,1,13,4,2,1,3,5,11,1,1,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0
